Name,Discounted Price,Actual Price,Saving,Brand,Z_score
Lenovo Legion Pro 5 Ultra 9-275HX (32GB-1TB SSD) RTX 5070 8GB,696999.0,745000.0,6.443087248322148,lenovo,-0.745732081629658
ASUS TUF GAMING F15-FX507VV Ci7-13620H (16GB-512GB SSD) RTX 4060 8GB,359999.0,400000.0,10.00025,asus,0.5299468846853679
ASUS TUF GAMING A14 FA-401WU RYZEN AI 9 HX370 (32GB-1TB SSD) RTX 4050 6GB,501999.0,549000.0,8.56120218579235,asus,
ASUS EXPERTBOOK B3402FBA Ci5 1235U (8GB-512GB SSD),169999.0,230000.0,26.087391304347822,asus,1.9629931649271048
Asus ExpertBook B3402FVA Ci7 1355U (16GB-512GB SSD),209999.0,260000.0,19.231153846153845,asus,-0.827234161460086
Lenovo ThinkPad E16 G3 Ultra 7 255H (16GB-512GB SSD),293999.0,340000.0,13.52970588235294,lenovo,-0.565564828948227
Dell Alienware 16X Aurora AC16251 Ultra 9-275HX (16GB-1TB SSD) RTX 5070 8GB,645999.0,750000.0,13.866800000000001,dell,
HP 15 FD0647TU 13th Generation Ci5-1334U (8GB-512GB SSD),139999.0,170000.0,17.64764705882353,hp,-0.9373791869823147
HP OMNIBOOK X FLIP 16-AS0043DX ULTRA 9-288V (32GB-2TB SSD),403999.0,445000.0,9.213707865168539,hp,
Lenovo ThinkPad E14 G4 14 Inches 12th Gen Core i7 DOS (8GB - 512GB),230999.0,309999.0,25.483953174042494,lenovo,-0.03572216859336412
HP ProBook 450 G9 15.6 Inches 12th Gen Core i5 DOS (8GB - 512GB),199999.0,239999.0,16.666736111400464,hp,0.21610198724067783
HP ProBook 450 G9 15.6 Inches 12th Gen Core i5 Backlit Keyboard DOS,179999.0,210000.0,14.286190476190477,hp,-0.27823767111894954
HP ProBook 450 G9 15.6 Inches 12th Gen Core i7 DOS (8GB - 512GB) International,186999.0,259999.0,28.077031065504098,hp,-0.6296080583245255
Lenovo Thinkbook 15 G2 1135G7 15.6 Inches 11th Gen Core i5 DOS (8GB - 1TB),204999.0,219999.0,6.8182128100582275,lenovo,-0.29852207375440815
HP 15s FC0100AU 15.6 Inches AMD Ryzen 5 7520U Win 11 (8GB - 512GB),191999.0,234999.0,18.297950204043424,hp,1.135880427618698
Lenovo V15 G3-Ci5 12th (8GB 512GB SSD),132999.0,199999.0,33.5001675008375,lenovo,-0.7477616664338654
HP 250 G10 Raptor Lake 13th Gen Core i5 (8GB-512GB SSD),148999.0,185000.0,19.46,hp,-0.6902011185335528
HP Probook 450 G10 13th Gen Core i7 (8GB-512GB),214999.0,240000.0,10.417083333333334,hp,-0.846566895580945
Lenovo ThinkBook 16 Ci3-1305U (8GB-512GB SSD),127999.0,200000.0,36.0005,lenovo,0.8429279698158638
Lenovo ThinkbooK 14 13th Core i5,165488.0,200000.0,17.256,lenovo,-0.7477392044542315
Lenovo Thinkbook 14 14th Gen Core 7 8GB/512GB,225999.0,300000.0,24.667,lenovo,
Lenovo V15 G4 Core i5 13th Generation,145999.0,150000.0,2.6673333333333336,lenovo,-1.8708381861528747
HP EliteBook 640 G10 13th Gen Core i7 14 inches (16GB-512GB),247999.0,300000.0,17.333666666666666,hp,-0.19565783835882558
Lenovo Ideapad Slim 3 13th Gen Core i7 DOS(16GB-512GB),168999.0,200000.0,15.5005,lenovo,-1.3030466184817628
Lenovo ThinkPad E16 G1 14 Inches 13th Gen Core i5  (8GB - 512GB),237999.0,250000.0,4.8004,lenovo,0.3753597772444117
Lenovo ThinkPad E16 G1 15.6 Inches 13th Gen Core i5 (8GB - 512GB),237999.0,250000.0,4.8004,lenovo,0.3753597772444117
HP EliteBook 640 G10 13th Gen Core i5 14 inches (8GB-512GB),199999.0,230000.0,13.04391304347826,hp,0.0513330868127331
HP ENVY x360 14 ES1023dx 14th Gen Core 7 (16GB-512GB),233999.0,250000.0,6.4004,hp,
HP Laptop 15-fd0356nia  Core™ i5 DOS (8GB-512GB),141999.0,200000.0,29.000500000000002,hp,-0.4430230500847908
Lenovo Yoga 7 2 in 1 16 - Intel Core Ultra 7 (16GB-1TB),261999.0,370000.0,29.18945945945946,lenovo,-0.3677812991460834
Dell Latitude 3540 Ci5-1335U (8GB-256GB SSD),171999.0,200000.0,14.000499999999999,dell,0.07648436328572432
Dell Inspiron 14-7440 CORE7 150U,221999.0,290000.0,23.448620689655172,dell,
ASUS EXPERTBOOK B1503CVA Ci7 1355U (16GB-512GB SSD),181999.0,200000.0,9.0005,asus,-1.408883181236709
HP PROBOOK 440 G11 Ultra 5 125u,216999.0,235000.0,7.66,hp,-1.3926212476455824
Lenovo ThinkBook 16 Ultra 7 255H (8GB-512GB SSD),251999.0,280000.0,10.000357142857142,lenovo,-0.9611318885525143
HP OMEN 16-AE0073CL Ci7-14650HX (32GB - 1TB) RTX-4060-8GB,433999.0,460000.0,5.652391304347826,hp,1.540099647566826
ASUS ROG STRIX G614J 13TH CI7 13650HX (32GB-1TB SSD),378999.0,399999.0,5.250013125032813,asus,
Dell Latitude 5450 14th Gen Core Ultra 7 (8GB-512GB SSD),327999.0,369999.0,11.351382030762245,dell,-0.7071067811865476
DELL LATTITUDE 5550 14TH GEN Core Ultra 5 125U (8GB-512GB SSD),304999.0,340000.0,10.294411764705883,dell,0.7071067811865476
Lenovo IdeaPad Slim 5 2in1 Core i513420H (16GB-512GB) DOS,221999.0,250000.0,11.2004,lenovo,0.3753597772444117
HP 15S FC0298AU Notebook AMD Ryzen 5 7430U,133999.0,140500.0,4.627046263345195,hp,-0.9896795552574172
ASUS Zenbook 14 UX3405C Intel Core Ultra 9 285H (32GB-1TB SSD),389999.0,499999.0,22.000044000088,asus,-0.7071067811865476
HP OMNIBOOK  X Flip 16-AS0023DX Core Ultra 7 256V (16GB 1TB SSD),259999.0,290000.0,10.345172413793104,hp,-0.8443190859379491
LENOVO LEGION PRO 5 Ci9-14900HX (32GB-1TB SSD) RTX 4070 8GB,629999.0,699999.0,10.000014285734695,lenovo,0.7071067811865476
Lenovo Legion Pro 5 Ultra 7-255HX (32GB-1TB SSD) RTX 5060 8GB,622999.0,670000.0,7.0150746268656725,lenovo,1.6100539988753533
ASUS TUF GAMING F17 FX707VU Ci7-13620H (16GB-512GB SSD) RTX 4050 6GB,327999.0,375000.0,12.5336,asus,0.28759312644510826
ACER PREDATOR HELIOS 18 AI Core Ultra 9 275HX (64GB-1TB SSD) RTX 5080 16GB,995999.0,1050000.0,5.142952380952381,acer,1.0847519898840408
ASUS ROG STRIX G16 G615JMR Ci7 14650HX (16GB-1TB SSD) RTX 5060 8GB,449999.0,570000.0,21.05280701754386,asus,2.1779524407191335
Asus Expertbook B1403CVA Ci7 13620H (16GB-1TB SSD),194999.0,245000.0,20.408571428571427,asus,-0.9726464164042418
Lenovo ThinkPad E14 G8 U5-225H (8GB-512GB SSD),244999.0,300000.0,18.333666666666666,lenovo,
Lenovo ThinkPad T14 G6 Ultra 7 225U (16GB-512GB SSD),414999.0,485000.0,14.433195876288659,lenovo,0.39038889842880065
Acer Predator Helios Neo 16 AI PHN16-73-97SP Gaming Notebook (16GB-1TB SSD),502999.0,599999.0,16.16669361115602,acer,
ASUS TUF F16 FX608LM Ultra 9-275HX (32GB-1TB SSD) RTX 5060 8GB,549999.0,600000.0,8.3335,asus,0.7071067811865476
Asus VivoBook 15 x1504VA Ci5 1335U (8GB-512GB SSD),149999.0,200000.0,25.0005,asus,0.13538514105712457
Lenovo Legion 5 Ci9-14900HX (32GB-1TB SSD) RTX 5070 8GB,599999.0,650000.0,7.692461538461538,lenovo,-0.7071067811865476
HP Victus 15-FA2787NR Core i7-13620H Gaming Laptop (16GB-512GB SSD) RTX 5060 8GB,351999.0,380000.0,7.368684210526316,hp,0.6722209046040003
HP Victus 15-FA2209TX Ci7 14650HX (16GB-512GB SSD) RTX-4050-6GB,337999.0,390000.0,13.333589743589744,hp,0.7807057474743535
Apple Macbook Air 13 MW0W3 M4,286999.0,299999.0,4.333347777825926,apple,-0.7631976374319899
Lenovo Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS (8GB - 256GB),176999.0,249999.0,29.200116800467203,lenovo,-0.7269963346612731
Lenovo Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS (8GB - 1TB),202999.0,254999.0,20.392236832301304,lenovo,-0.669390154155614
Lenovo ThinkPad X1 Carbon G12 Ultra 7 (32GB-512GB SSD),549999.0,609999.0,9.836081698494588,lenovo,1.214480346486739
HP Pavilion 15 EG3020TX 15.6 Inches 13th Gen Core i7 Win 11 (16GB - 512GB),339999.0,369999.0,8.108130021973032,hp,0.56372521324936
HP VICTUS 15-FA2093DX Ci7-13620H (16GB-1TB SSD) RTX 5060 8GB,357999.0,539999.0,33.703766118085404,hp,2.407967542045365
